Participant,UnityTime,CurrentSession,ConstrictedSize,DilatedSize,CurrentStimuli,StimuliStartSize,StimuliEndSize,StimuliPupilSize,PupilSizeChanging,PupilDataActive,LeftPupilSize,RightPupilSize,Frame
2,13:20:57:138,1,9,1,Human,1,0,0,False,False,0,0,1
2,13:20:57:156,1,9,1,Human,1,0,0,False,False,0,0,1
2,13:20:57:178,1,9,1,Human,1,0,0,False,False,0,0,2
2,13:20:57:765,1,9,1,Human,1,0,0,False,False,0,0,3
2,13:20:57:819,1,9,1,Human,1,0,0,False,False,0,0,4
2,13:20:57:853,1,9,1,Human,1,0,0,False,False,0,0,5
2,13:20:57:865,1,9,1,Human,1,0,0,False,False,0,0,6
2,13:20:57:874,1,9,1,Human,1,0,0,False,False,0,0,7
2,13:20:57:884,1,9,1,Human,1,0,0,False,False,0,0,8
2,13:20:57:894,1,9,1,Human,1,0,0,False,False,0,0,9
2,13:20:57:903,1,9,1,Human,1,0,0,False,False,0,0,10
2,13:20:57:913,1,9,1,Human,1,0,0,False,False,0,0,11
2,13:20:57:924,1,9,1,Human,1,0,0,False,False,0,0,12
2,13:20:57:934,1,9,1,Human,1,0,0,False,False,0,0,13
2,13:20:57:946,1,9,1,Human,1,0,0,False,False,0,0,14
2,13:20:57:956,1,9,1,Human,1,0,0,False,False,0,0,15
2,13:20:57:968,1,9,1,Human,1,0,0,False,False,0,0,16
2,13:20:57:979,1,9,1,Human,1,0,0,False,False,0,0,17
2,13:20:57:994,1,9,1,Human,1,0,0,False,False,0,0,18
2,13:20:58:003,1,9,1,Human,1,0,0,False,False,0,0,19
2,13:20:58:012,1,9,1,Human,1,0,0,False,False,0,0,20
2,13:20:58:024,1,9,1,Human,1,0,0,False,False,0,0,21
2,13:20:58:035,1,9,1,Human,1,0,0,False,False,0,0,22
2,13:20:58:046,1,9,1,Human,1,0,0,False,False,0,0,23
2,13:20:58:056,1,9,1,Human,1,0,0,False,False,0,0,24
2,13:20:58:068,1,9,1,Human,1,0,0,False,False,0,0,25
2,13:20:58:079,1,9,1,Human,1,0,0,False,False,0,0,26
2,13:20:58:090,1,9,1,Human,1,0,0,False,False,0,0,27
2,13:20:58:103,1,9,1,Human,1,0,0,False,False,0,0,28
2,13:20:58:113,1,9,1,Human,1,0,0,False,False,0,0,29
2,13:20:58:124,1,9,1,Human,1,0,0,False,False,0,0,30
2,13:20:58:134,1,9,1,Human,1,0,0,False,False,0,0,31
2,13:20:58:146,1,9,1,Human,1,0,0,False,False,0,0,32
2,13:20:58:158,1,9,1,Human,1,0,0,False,False,0,0,33
2,13:20:58:168,1,9,1,Human,1,0,0,False,False,0,0,34
2,13:20:58:179,1,9,1,Human,1,0,0,False,False,0,0,35
2,13:20:58:191,1,9,1,Human,1,0,0,False,False,0,0,36
